Number_of_announcements,Number_of_announced_NLRI_prefixes,Maximum_AS_path_length,Average_edit_distance,Maximum_edit_distance,Number_of_Interior_Gateway_Protocol_IGP_packets,Number_of_incomplete_packets,Labels
34,72,9,9,0.6,28,6,Normal
34,87,9,9,0.6,32,2,Normal
26,84,9,9,0.5,24,2,Normal
36,59,19,19,0.6,36,0,Normal
30,76,16,16,0.5,29,1,Normal
28,57,11,11,0.5,25,3,Normal
23,39,9,9,0.4,23,0,Normal
38,64,10,10,0.7,36,2,Normal
27,43,13,13,0.5,25,2,Normal
31,76,13,13,0.5,25,6,Normal
28,64,9,9,0.5,27,1,Normal
21,50,11,11,0.4,21,0,Normal
13,23,14,14,0.2,12,1,Normal
27,58,15,15,0.5,25,2,Normal
29,60,10,10,0.5,26,3,Normal
58,101,12,12,1,55,3,Normal
43,62,11,11,0.8,41,2,Normal
35,49,11,11,0.6,31,4,Normal
24,41,11,11,0.4,17,7,Normal
29,46,7,7,0.5,22,7,Normal
41,63,9,9,0.7,38,3,Normal
20,54,8,8,0.3,17,3,Normal
44,92,9,9,0.8,37,7,Normal
28,75,10,10,0.5,25,3,Normal
41,138,10,10,0.7,38,3,Normal
38,100,10,10,0.7,34,4,Normal
30,78,11,11,0.5,29,1,Normal
54,175,12,12,0.9,54,0,Normal
35,159,12,12,0.6,33,2,Normal
11,31,10,9,0.2,11,0,Normal
32,173,11,11,0.6,24,8,Normal
30,165,10,10,0.5,18,12,Normal
20,53,10,10,0.4,15,5,Normal
31,41,8,8,0.6,26,5,Normal
32,51,7,7,0.5,32,0,Normal
29,52,7,8,0.5,26,3,Normal
39,119,10,10,0.7,31,8,Normal
46,86,11,11,0.8,36,10,Normal
28,49,16,16,0.5,23,5,Normal
28,36,7,7,0.5,26,2,Normal
27,43,8,8,0.5,25,2,Normal
49,75,11,11,0.8,38,11,Normal
58,80,17,17,1,52,6,Normal
33,46,16,16,0.6,30,3,Normal
38,77,9,9,0.6,34,4,Normal
37,84,10,10,0.7,31,6,Normal
19,44,7,7,0.3,19,0,Normal
24,37,12,12,0.4,23,1,Normal
38,57,11,11,0.7,36,2,Normal
34,47,14,14,0.6,32,2,Normal
28,46,8,8,0.5,28,0,Normal
52,96,8,8,0.9,51,1,Normal
49,107,10,10,0.8,48,1,Normal
49,176,13,13,0.8,47,2,Normal
51,301,12,12,0.9,43,8,Normal
36,64,8,8,0.6,35,1,Normal
27,45,9,9,0.5,25,2,Normal
31,48,8,8,0.5,28,3,Normal
37,73,9,9,0.6,36,1,Normal
29,44,10,10,0.5,28,1,Normal
35,71,9,9,0.6,34,1,Normal
41,86,9,9,0.7,37,4,Normal
39,79,10,10,0.7,35,4,Normal
37,60,13,13,0.7,33,4,Normal
38,74,11,11,0.7,34,4,Normal
42,96,8,8,0.7,37,5,Normal
33,60,9,9,0.6,26,5,Normal
37,61,11,11,0.7,24,6,Normal
30,39,13,13,0.5,26,2,Normal
28,40,9,10,0.5,27,1,Normal
36,58,10,10,0.6,28,8,Normal
29,57,10,10,0.5,28,1,Normal
41,78,18,18,0.7,39,2,Normal
51,87,17,17,0.9,51,0,Normal
25,44,15,15,0.5,22,3,Normal
34,48,15,15,0.6,28,6,Normal
140,283,19,19,2.4,133,7,Normal
195,390,18,18,3.3,187,8,Normal
65,122,12,12,1.2,63,2,Normal
34,119,15,15,0.6,31,3,Normal
29,43,12,12,0.5,24,5,Normal
43,67,11,11,0.8,29,8,Normal
25,61,10,10,0.5,20,1,Normal
36,71,10,10,0.6,34,2,Normal
40,73,11,11,0.7,32,5,Normal
53,88,12,12,0.9,49,3,Normal
56,114,14,14,1,51,5,Normal
41,97,12,12,0.7,27,14,Normal
32,102,12,12,0.6,19,13,Normal
43,104,12,12,0.8,37,6,Normal
54,133,16,16,0.9,46,8,Normal
39,111,12,12,0.7,37,1,Normal
49,94,12,12,0.9,42,7,Normal
37,99,9,9,0.7,28,9,Normal
23,103,10,10,0.4,19,4,Normal
31,73,10,10,0.6,28,3,Normal
45,98,10,10,0.8,35,10,Normal
27,61,10,10,0.5,24,3,Normal
33,70,10,10,0.6,29,4,Normal
37,47,11,11,0.7,34,3,Normal
36,51,10,10,0.7,29,7,Normal
26,43,9,9,0.4,26,0,Normal
167,677,13,13,2.8,157,10,Normal
147,686,13,13,2.5,143,4,Normal
40,167,8,8,0.7,39,1,Normal
141,446,15,15,2.4,130,11,Normal
81,186,15,15,1.4,71,10,Normal
93,360,14,14,1.6,76,17,Normal
94,318,10,10,1.6,79,15,Normal
22,70,15,15,0.4,11,11,Normal
22,38,13,13,0.4,20,2,Normal
131,395,11,11,2.2,108,23,Normal
115,341,12,12,1.9,89,26,Normal
243,623,11,11,4.1,229,14,Normal
124,385,13,13,2.1,109,15,Normal
60,171,9,12,1,54,6,Normal
39,190,13,13,0.7,33,6,Normal
35,144,8,8,0.6,31,4,Normal
20,32,13,13,0.3,20,0,Normal
41,152,10,10,0.7,35,6,Normal
51,158,12,12,0.9,48,3,Normal
57,150,15,15,1,53,4,Normal
87,135,16,16,1.5,76,11,Normal
49,102,19,19,0.9,41,8,Normal
227,537,16,16,3.8,207,20,Normal
38,73,18,18,0.7,30,8,Normal
30,93,8,8,0.5,26,4,Normal
41,88,11,11,0.7,33,1,Normal
21,22,12,12,0.4,17,2,Normal
132,452,18,18,2.2,127,5,Normal
29,45,10,10,0.5,28,1,Normal
117,452,15,15,2,117,0,Normal
65,173,14,14,1.1,63,2,Normal
60,110,14,14,1,57,3,Normal
44,63,12,12,0.8,43,1,Normal
39,86,10,10,0.7,34,5,Normal
47,94,10,10,0.8,44,3,Normal
35,53,9,9,0.6,31,4,Normal
33,59,8,8,0.6,29,4,Normal
46,97,9,9,0.8,45,1,Normal
48,78,15,15,0.8,47,1,Normal
39,54,14,14,0.7,39,0,Normal
44,66,12,12,0.8,43,1,Normal
57,100,13,13,1,56,1,Normal
40,76,8,8,0.7,40,0,Normal
42,66,13,13,0.7,41,1,Normal
39,84,17,17,0.6,34,3,Normal
40,48,16,16,0.7,39,1,Normal
46,99,9,9,0.8,44,2,Normal
90,194,10,10,1.5,87,3,Normal
109,304,12,12,1.8,94,15,Normal
128,311,13,13,2.2,116,12,Normal
52,86,13,13,0.9,48,4,Normal
222,556,11,11,3.7,199,23,Normal
50,90,9,9,0.9,46,4,Normal
45,102,8,8,0.8,37,8,Normal
51,85,9,9,0.9,46,5,Normal
65,186,12,12,1.1,59,6,Normal
61,86,12,12,1.1,58,3,Normal
45,74,12,12,0.8,40,5,Normal
50,61,8,8,0.9,48,2,Normal
35,56,12,12,0.6,29,6,Normal
35,79,8,8,0.6,26,9,Normal
35,64,11,11,0.6,29,6,Normal
33,104,9,9,0.5,32,1,Normal
447,2387,18,18,7.5,435,12,Normal
50,163,11,11,0.9,44,6,Normal
194,496,12,12,3.3,183,11,Normal
82,107,14,14,1.4,80,2,Normal
212,511,16,16,3.6,203,9,Normal
89,146,17,17,1.5,88,1,Normal
58,104,14,14,1,58,0,Normal
54,78,15,15,0.9,53,1,Normal
43,92,15,15,0.7,40,3,Normal
48,91,14,14,0.8,43,5,Normal
117,360,13,13,2,101,7,Normal
47,103,12,12,0.8,45,2,Normal
36,48,9,9,0.6,35,1,Normal
30,58,8,8,0.5,26,4,Normal
38,61,8,8,0.7,32,6,Normal
84,237,11,11,1.4,83,1,Normal
120,465,16,16,2,116,4,Normal
52,159,15,15,0.9,38,14,Normal
56,150,21,21,1,44,12,Normal
85,246,21,21,1.5,83,2,Normal
54,130,20,20,0.9,54,0,Normal
37,92,20,20,0.6,37,0,Normal
50,120,17,17,0.9,46,4,Normal
44,79,16,16,0.8,42,2,Normal
58,252,16,16,1,53,5,Normal
42,69,9,9,0.7,39,3,Normal
34,48,9,9,0.6,30,4,Normal
39,96,9,9,0.7,31,8,Normal
45,80,12,12,0.7,41,4,Normal
47,87,11,11,0.8,42,5,Normal
44,127,11,11,0.8,42,2,Normal
84,135,12,12,1.4,79,5,Normal
59,107,13,13,1,58,1,Normal
31,40,13,13,0.5,31,0,Normal
38,59,12,12,0.7,38,0,Normal
17,19,9,9,0.3,15,2,Normal
26,36,9,9,0.4,22,4,Normal
34,80,12,12,0.5,31,3,Normal
32,78,11,11,0.6,32,0,Normal
41,79,14,14,0.7,39,2,Normal
69,195,13,13,1.2,65,4,Normal
79,168,13,13,1.4,78,1,Normal
45,110,12,12,0.8,43,2,Normal
41,75,7,7,0.7,40,1,Normal
45,99,8,8,0.7,42,3,Normal
43,90,8,8,0.7,33,10,Normal
40,122,11,11,0.7,36,4,Normal
61,117,12,12,1.1,56,5,Normal
119,405,13,13,2,114,5,Normal
151,443,10,10,2.6,147,4,Normal
61,171,13,13,1,55,6,Normal
107,418,10,10,1.7,95,12,Normal
55,98,12,12,0.9,49,6,Normal
208,548,11,11,3.5,199,9,Normal
25,60,6,6,0.4,23,2,Normal
55,211,15,15,0.9,48,7,Normal
33,212,15,15,0.5,29,4,Normal
35,159,15,15,0.6,28,7,Normal
46,126,8,8,0.8,36,10,Normal
35,83,11,11,0.6,28,7,Normal
91,305,16,16,1.5,80,11,Normal
71,165,16,16,1.2,69,2,Normal
73,211,15,15,1.3,70,3,Normal
74,358,9,9,1.3,65,9,Normal
28,38,10,10,0.5,28,0,Normal
40,74,13,13,0.7,39,1,Normal
121,336,14,14,2.1,115,6,Normal
62,118,15,15,1.1,62,0,Normal
222,663,15,15,3.8,207,15,Normal
262,674,13,13,4.4,249,13,Normal
304,778,14,14,5.1,285,19,Normal
74,207,11,11,1.3,67,7,Normal
42,143,9,9,0.7,40,2,Normal
43,88,7,7,0.7,43,0,Normal
198,527,10,10,3.3,184,14,Normal
48,117,9,9,0.8,45,3,Normal
35,146,8,8,0.6,33,2,Normal
86,522,12,12,1.5,74,12,Normal
62,139,11,11,1.1,59,3,Normal
52,96,10,10,0.9,47,5,Normal
25,39,7,7,0.4,19,6,Normal
36,95,10,10,0.6,34,2,Normal
34,142,9,9,0.6,32,2,Normal
41,154,7,7,0.7,37,4,Normal
20,218,7,7,0.3,13,7,Normal
50,120,15,15,0.9,47,3,Normal
29,38,10,10,0.5,26,3,Normal
28,38,8,8,0.5,26,2,Normal
34,95,8,8,0.6,34,0,Normal
27,95,8,8,0.5,25,2,Normal
168,409,11,11,2.8,158,10,Normal
172,500,10,10,2.9,158,14,Normal
169,663,12,12,2.9,149,20,Normal
66,242,15,15,1.2,52,14,Normal
28,82,8,8,0.5,26,2,Normal
55,186,15,15,0.9,53,2,Normal
27,61,9,9,0.5,27,0,Normal
41,57,8,8,0.7,41,0,Normal
127,481,16,16,2.2,108,19,Normal
89,238,15,15,1.5,83,6,Normal
47,115,11,11,0.8,39,8,Normal
97,418,13,13,1.6,77,20,Normal
31,106,10,10,0.5,29,2,Normal
28,74,11,11,0.5,28,0,Normal
63,179,11,11,1.1,63,0,Normal
49,199,15,15,0.8,49,0,Normal
48,142,12,12,0.8,47,1,Normal
57,141,10,10,0.9,50,6,Normal
55,176,15,15,0.9,49,5,Normal
49,80,14,14,0.8,44,5,Normal
31,72,9,9,0.5,25,6,Normal
39,86,8,8,0.7,36,3,Normal
219,1019,16,16,3.7,208,10,Normal
147,745,16,16,2.5,144,2,Normal
33,212,16,16,0.6,29,4,Normal
56,328,12,12,1,49,7,Normal
70,221,14,14,1.2,65,5,Normal
81,292,15,15,1.4,78,3,Normal
46,149,15,15,0.8,42,4,Normal
61,168,16,16,1.1,55,6,Normal
40,108,12,12,0.7,34,6,Normal
27,72,11,11,0.5,25,2,Normal
184,599,14,14,3.1,169,15,Normal
59,203,10,10,1,53,6,Normal
51,281,12,12,0.9,40,11,Normal
40,264,10,10,0.7,32,8,Normal
113,476,16,16,200,102,11,Normal
94,607,14,14,1.6,85,9,Normal
45,144,14,14,0.8,43,2,Normal
30,111,12,12,0.5,29,1,Normal
50,150,11,11,0.9,45,5,Normal
50,123,16,16,0.9,47,3,Normal
33,121,11,11,0.6,33,0,Normal
60,151,12,12,1,53,7,Normal
105,425,16,16,1.8,100,5,Normal
76,333,16,16,1.3,70,6,Normal
80,282,15,15,1.4,68,12,Normal
81,341,12,12,1.4,69,12,Normal
97,214,15,15,1.6,90,7,Normal
108,458,17,17,1.9,97,11,Normal
57,102,14,14,1,51,6,Normal
54,155,13,13,0.9,52,2,Normal
115,358,14,14,2,108,7,Normal
65,155,16,16,1.1,60,5,Normal
53,124,16,16,0.9,51,2,Normal
141,318,12,12,2.3,133,8,Normal
38,71,16,16,0.6,31,7,Normal
31,92,12,12,0.5,31,0,Normal
34,81,8,8,0.6,32,2,Normal
13,15,7,7,0.2,13,0,Normal
32,34,11,11,0.5,26,6,Normal
46,82,7,7,0.8,40,6,Normal
80,136,10,10,1.4,68,12,Normal
136,514,14,14,2.3,115,21,Normal
84,379,11,11,1.4,67,17,Normal
90,338,12,12,1.5,71,19,Normal
102,507,13,13,1.7,80,22,Normal
58,312,12,12,1,49,9,Normal
47,261,10,10,0.8,41,6,Normal
66,351,20,20,1.1,57,9,Normal
59,261,11,11,1,46,13,Normal
159,542,10,10,2.7,144,15,Normal
111,252,10,10,1.9,105,6,Normal
32,62,9,9,0.5,31,1,Normal
26,39,12,12,0.5,23,3,Normal
43,97,9,9,0.7,39,4,Normal
35,89,12,12,0.6,31,4,Normal
46,282,15,15,0.8,39,7,Normal
33,118,12,12,0.6,29,4,Normal
35,65,9,9,0.6,34,1,Normal
32,55,14,14,0.5,30,2,Normal
48,86,10,10,0.8,47,1,Normal
64,120,13,13,1.1,61,3,Normal
300,716,15,15,5.1,279,21,Normal
167,371,15,15,2.8,162,5,Normal
112,265,10,10,1.9,106,6,Normal
55,107,9,10,0.9,48,7,Normal
24,45,8,8,0.4,22,2,Normal
59,96,9,9,1,54,5,Normal
97,166,10,10,1.6,92,5,Normal
128,419,14,14,2.2,120,8,Normal
100,416,12,12,1.7,96,4,Normal
84,245,11,11,1.4,76,8,Normal
59,132,14,14,1,56,3,Normal
58,131,12,12,1,49,9,Normal
42,123,11,11,0.7,37,5,Normal
32,80,7,7,0.6,31,1,Normal
37,147,10,10,0.7,35,2,Normal
76,292,12,12,1.3,68,8,Normal
68,268,11,11,1.2,64,4,Normal
113,521,14,14,200,107,6,Normal
153,753,15,15,2.6,152,1,Normal
74,312,13,13,1.3,72,2,Normal
89,377,11,11,1.5,87,2,Normal
74,251,13,13,1.3,68,6,Normal
50,114,12,12,0.9,42,8,Normal
77,268,11,11,1.3,71,6,Normal
36,87,12,12,0.6,34,2,Normal
32,57,12,12,0.6,29,3,Normal
66,145,14,14,1.1,60,6,Normal
59,151,10,10,1,57,2,Normal
63,165,9,9,1.1,56,7,Normal
54,170,14,14,0.9,47,7,Normal
126,418,13,13,2.1,120,6,Normal
181,538,14,14,3,173,8,Normal
98,217,13,13,1.7,88,10,Normal
75,251,12,12,1.3,72,3,Normal
83,325,12,12,1.4,72,11,Normal
43,105,12,12,0.8,40,3,Normal
52,185,10,10,0.9,50,2,Normal
58,143,15,15,1,54,4,Normal
137,319,17,17,2.3,127,10,Normal
95,284,12,12,1.6,92,3,Normal
104,214,15,15,1.8,95,9,Normal
88,204,16,16,1.5,83,5,Normal
79,165,13,13,1.4,73,6,Normal
40,96,12,12,0.7,40,0,Normal
145,401,15,15,2.5,138,7,Normal
235,816,13,13,4,227,8,Normal
146,526,14,14,2.5,142,4,Normal
43,69,11,11,0.8,40,3,Normal
119,270,13,13,2,116,3,Normal
141,460,13,13,2.4,130,11,Normal
121,478,15,15,2.1,111,10,Normal
138,364,13,13,2.3,136,2,Normal
37,95,10,10,0.7,28,9,Normal
32,82,12,12,0.6,26,6,Normal
63,122,11,11,1.1,57,6,Normal
142,312,14,14,2.4,133,9,Normal
248,608,14,14,4.2,242,6,Normal
204,419,17,17,3.4,200,4,Normal
220,630,17,17,3.7,211,9,Normal
82,377,16,16,1.4,75,7,Normal
59,122,14,14,1,53,6,Normal
64,154,16,16,1.1,50,14,Normal
63,234,14,14,1.1,54,9,Normal
103,268,17,17,1.8,97,6,Normal
169,736,16,16,2.9,165,4,Normal
83,386,16,16,1.4,80,3,Normal
61,169,15,15,1.1,56,5,Normal
119,357,14,14,2,111,8,Normal
84,430,13,13,1.4,76,8,Normal
53,167,10,10,0.9,41,12,Normal
86,187,9,9,1.5,80,6,Normal
53,133,9,9,0.9,48,5,Normal
34,58,11,11,0.6,29,5,Normal
84,314,11,11,1.4,79,5,Normal
117,489,12,12,1.9,109,8,Normal
62,162,13,13,1.1,53,9,Normal
106,353,17,17,1.8,99,7,Normal
123,540,18,18,2.1,118,5,Normal
53,128,12,12,0.9,47,6,Normal
37,130,12,12,0.7,35,2,Normal
40,88,10,10,0.7,32,8,Normal
70,189,17,17,1.2,67,3,Normal
98,280,16,16,1.7,93,5,Normal
167,670,15,15,2.8,154,13,Normal
34,79,13,13,0.6,32,2,Normal
70,162,15,15,1.2,65,5,Normal
67,128,17,17,1.2,63,4,Normal
127,470,17,17,2.2,127,0,Normal
281,1097,16,16,4.7,279,2,Normal
108,324,15,15,1.8,107,1,Normal
44,91,11,11,0.7,41,3,Normal
83,298,17,17,1.4,82,1,Normal
165,730,17,17,2.8,164,1,Normal
67,222,16,16,1.2,63,4,Normal
38,66,17,17,0.7,35,3,Normal
251,1168,17,17,4.2,248,3,Normal
127,534,16,16,2.2,125,2,Normal
45,169,15,15,0.8,45,0,Normal
108,309,16,16,1.8,104,4,Normal
101,288,15,15,1.7,99,2,Normal
68,118,12,12,1.2,65,3,Normal
37,87,15,15,0.7,36,1,Normal
27,70,16,16,0.4,20,7,Normal
33,60,11,11,0.5,31,2,Normal
33,68,17,17,0.6,27,6,Normal
52,88,17,17,0.9,47,5,Normal
65,143,17,17,1.1,59,6,Normal
74,158,12,12,1.3,69,5,Normal
45,80,9,9,0.8,40,5,Normal
59,90,17,17,1,51,8,Normal
47,66,10,10,0.8,46,1,Normal
50,89,13,13,0.9,42,8,Normal
64,133,13,13,1.1,61,3,Normal
112,452,12,12,1.9,108,4,Normal
93,483,16,16,1.6,86,7,Normal
158,707,17,17,2.7,152,6,Normal
46,196,17,17,0.8,43,3,Normal
28,71,12,12,0.5,24,4,Normal
36,91,16,16,0.6,29,7,Normal
65,277,16,16,1.1,56,9,Normal
42,130,17,17,0.8,39,3,Normal
56,127,10,10,0.9,56,0,Normal
159,667,11,11,2.7,154,5,Normal
94,420,13,13,1.6,89,5,Normal
124,599,17,17,2.1,118,6,Normal
103,496,12,12,1.8,98,5,Normal
104,380,17,17,1.7,101,3,Normal
85,228,16,16,1.5,74,11,Normal
72,289,12,12,1.2,67,5,Normal
61,132,16,16,1,56,5,Normal
94,247,12,12,1.6,91,3,Normal
54,209,12,12,0.9,53,1,Normal
57,178,17,17,1,55,2,Normal
49,103,12,12,0.8,44,5,Normal
57,114,9,9,1,52,5,Normal
44,82,11,11,0.8,40,4,Normal
108,442,17,17,1.8,104,4,Normal
64,188,17,17,1.1,54,10,Normal
130,311,12,12,2.2,102,28,Normal
173,800,16,16,300,126,44,Normal
54,175,10,10,100,49,5,Normal
41,96,10,10,0.7,35,6,Normal
118,330,12,12,2,111,7,Normal
53,125,12,12,0.9,46,7,Normal
46,97,13,13,0.8,43,3,Normal
124,383,15,15,2.1,121,3,Normal
130,678,16,16,2.2,126,2,Normal
74,200,12,12,1.3,65,6,Normal
205,688,17,17,3.5,195,10,Normal
91,430,18,18,1.6,91,0,Normal
236,1260,16,16,4,236,0,Normal
74,321,11,11,1.3,67,1,Normal
44,130,11,11,0.8,44,0,Normal
117,483,17,17,2,114,3,Normal
53,139,17,17,0.9,52,1,Normal
252,1147,16,16,4.2,252,0,Normal
147,627,16,16,2.5,147,0,Normal
53,158,14,14,0.9,53,0,Normal
122,278,21,21,2.1,118,4,Normal
63,151,21,21,1.1,52,11,Normal
56,129,13,13,0.9,53,3,Normal
71,183,13,13,1.2,71,0,Normal
52,87,8,8,0.9,50,2,Normal
121,462,17,17,2.1,120,1,Normal
132,477,17,17,2.3,131,1,Normal
109,455,17,17,1.9,105,4,Normal
77,164,13,13,1.3,72,5,Normal
93,206,13,13,1.6,90,3,Normal
53,100,12,12,0.9,45,8,Normal
13,19,8,8,0.2,11,2,Normal
125,633,14,14,2.1,124,1,Normal
55,308,14,14,0.9,54,1,Normal
29,59,9,9,0.5,24,5,Normal
33,56,11,11,0.6,30,3,Normal
90,248,16,16,1.6,88,2,Normal
95,297,17,17,1.6,93,2,Normal
77,275,11,11,1.4,73,4,Normal
84,349,17,17,1.4,75,7,Normal
53,99,11,11,100,52,1,Normal
24,50,8,8,0.4,21,3,Normal
33,97,11,11,0.6,32,1,Normal
69,240,20,20,1.2,64,5,Normal
49,183,12,12,0.8,42,7,Normal
60,126,11,11,1.1,56,4,Normal
76,165,16,16,1.3,74,2,Normal
52,127,23,23,0.9,51,1,Normal
77,416,17,17,1.3,72,5,Normal
81,360,17,17,1.4,75,6,Normal
40,156,12,12,0.7,38,2,Normal
37,120,10,10,0.7,36,1,Normal
37,134,17,17,0.7,29,8,Normal
63,184,17,17,1.1,52,11,Normal
26,80,10,10,0.5,24,2,Normal
36,112,11,11,0.6,34,2,Normal
20,78,8,8,0.4,16,4,Normal
48,166,10,10,0.8,46,2,Normal
69,221,17,17,1.2,67,2,Normal
77,216,9,9,1.3,75,2,Normal
112,379,16,16,1.9,110,2,Normal
31,77,17,17,0.5,31,0,Normal
33,57,8,8,0.6,29,3,Normal
33,63,17,17,0.6,29,4,Normal
77,223,10,10,1.3,59,18,Normal
91,320,12,12,1.6,73,18,Normal
18,24,11,11,0.3,18,0,Normal
66,333,14,14,1.1,63,2,Normal
81,223,17,17,1.4,78,3,Normal
181,717,15,15,3.1,181,0,Normal
37,67,18,18,0.7,37,0,Normal
49,117,17,17,0.9,49,0,Normal
59,143,9,9,1,59,0,Normal
33,49,12,12,0.6,30,2,Normal
41,59,16,16,0.7,36,4,Normal
36,68,8,8,0.6,35,1,Normal
33,63,10,10,0.6,32,1,Normal
51,116,9,9,0.9,49,2,Normal
40,67,12,12,0.7,39,0,Normal
113,336,9,9,1.9,106,7,Normal
82,186,10,10,1.4,75,7,Normal
150,510,10,10,2.6,143,7,Normal
115,333,10,10,2,113,2,Normal
38,101,10,10,0.7,36,2,Normal
85,342,12,12,1.4,85,0,Normal
62,156,13,13,1.1,57,4,Normal
57,108,10,10,1,54,3,Normal
34,69,11,11,0.6,34,0,Normal
46,108,11,11,0.8,46,0,Normal
26,52,17,17,0.4,25,1,Normal
85,191,14,14,1.4,77,8,Normal
39,210,10,10,0.7,36,3,Normal
59,232,11,11,1,55,4,Normal
122,480,11,11,2.1,121,1,Normal
33,51,7,7,0.6,33,0,Normal
67,134,17,17,1.2,65,2,Normal
33,128,9,9,0.6,33,0,Normal
40,143,8,8,0.6,40,0,Normal
33,100,8,8,0.5,31,2,Normal
27,49,7,7,0.4,21,6,Normal
20,31,17,17,0.3,20,0,Normal
31,57,10,10,0.5,31,0,Normal
46,64,8,8,0.8,43,2,Normal
48,134,9,9,0.8,47,1,Normal
41,75,14,14,0.7,36,5,Normal
39,70,14,14,0.7,38,1,Normal
61,233,12,12,1.1,59,2,Normal
67,125,13,13,1.1,64,3,Normal
83,193,13,13,1.4,80,3,Normal
37,49,9,9,0.7,33,4,Normal
48,102,12,12,0.8,48,0,Normal
33,61,11,11,0.6,31,2,Normal
32,47,7,7,0.6,27,5,Normal
34,54,16,16,0.5,34,0,Normal
36,56,16,16,0.6,36,0,Normal
25,32,16,16,0.4,23,2,Normal
39,87,8,8,0.6,33,6,Normal
97,438,14,14,1.6,92,5,Normal
29,51,11,11,0.5,29,0,Normal
28,30,8,8,0.5,27,1,Normal
27,43,16,16,0.5,26,1,Normal
34,71,14,14,0.6,32,2,Normal
118,540,14,14,2,115,3,Normal
109,466,12,12,1.9,95,13,Normal
86,278,11,11,1.5,70,14,Normal
43,55,8,8,0.8,38,5,Normal
60,198,9,9,1,53,7,Normal
31,107,9,9,0.5,30,1,Normal
82,440,11,11,1.4,73,8,Normal
118,498,11,11,2,98,18,Normal
74,281,7,7,1.3,60,13,Normal
57,226,8,8,1,48,9,Normal
59,153,11,11,1,54,5,Normal
78,187,16,16,1.4,70,8,Normal
114,366,17,17,2,99,14,Normal
79,227,12,12,1.4,71,8,Normal
75,184,15,15,1.3,64,11,Normal
60,181,8,8,1.1,56,4,Normal
58,262,10,10,1,56,2,Normal
65,250,12,12,1.1,55,10,Normal
73,368,12,12,1.3,67,6,Normal
44,294,9,9,0.8,42,2,Normal
63,228,9,9,1.1,57,5,Normal
91,351,16,16,1.6,83,7,Normal
110,598,16,16,1.9,96,14,Normal
83,424,9,9,1.4,73,10,Normal
66,293,12,12,1.2,54,12,Normal
64,252,8,8,1.1,61,3,Normal
67,159,11,11,1.2,62,5,Normal
54,131,8,8,100,48,6,Normal
25,76,9,9,0.5,24,1,Normal
49,82,11,11,0.9,48,1,Normal
47,77,15,15,0.8,46,1,Normal
68,127,15,15,1.2,59,9,Normal
64,165,15,15,1.1,54,10,Normal
94,245,14,14,1.6,86,8,Normal
65,187,9,9,1.1,60,5,Normal
43,65,11,11,0.8,38,5,Normal
105,181,11,11,1.8,90,15,Normal
75,209,15,15,1.3,59,16,Normal
41,99,7,7,0.7,37,4,Normal
43,101,9,9,0.7,42,1,Normal
56,111,10,10,1,52,4,Normal
31,67,12,12,0.5,28,3,Normal
26,37,15,15,0.5,26,0,Normal
90,314,16,16,1.6,88,2,Normal
58,138,10,10,1,52,6,Normal
34,49,15,15,0.6,33,1,Normal
38,77,10,10,0.6,30,8,Normal
36,72,9,9,0.6,36,0,Normal
48,96,12,12,0.8,43,5,Normal
70,270,11,11,1.2,67,3,Normal
39,126,11,11,0.7,33,6,Normal
36,57,9,9,0.6,33,3,Normal
37,74,11,11,0.7,36,1,Normal
51,123,10,10,0.9,51,0,Normal
79,293,11,11,1.4,78,1,Normal
52,180,12,12,0.9,41,9,Normal
47,86,11,11,0.8,45,2,Normal
41,64,12,12,0.7,37,4,Normal
71,136,11,11,1.2,68,3,Normal
37,61,11,11,0.7,37,0,Normal
51,87,11,11,0.9,48,3,Normal
41,91,10,10,0.7,34,7,Normal
76,298,12,12,1.3,71,5,Normal
77,174,11,11,1.3,75,2,Normal
137,625,11,11,2.3,137,0,Normal
53,254,10,10,0.9,50,3,Normal
32,83,10,10,0.5,31,1,Normal
44,130,20,20,0.8,43,1,Normal
73,257,20,20,1.2,73,0,Normal
92,366,14,14,1.6,92,0,Normal
71,259,13,13,1.2,71,0,Normal
41,61,9,9,0.7,39,2,Normal
33,78,10,10,0.6,31,2,Normal
50,121,12,12,0.9,44,6,Normal
54,148,13,13,1,50,4,Normal
34,64,13,13,0.6,34,0,Normal
50,86,12,12,0.9,44,6,Normal
40,92,11,11,0.7,36,4,Normal
50,100,12,12,0.9,50,0,Normal
56,108,12,12,100,56,0,Normal
58,236,11,11,100,58,0,Normal
48,92,11,11,0.8,43,5,Normal
90,272,12,12,1.5,84,6,Normal
38,84,11,11,0.7,38,0,Normal
29,46,8,8,0.5,29,0,Normal
38,58,12,12,0.6,34,4,Normal
130,410,15,15,2.2,122,8,Normal
45,178,12,12,0.8,41,4,Normal
45,98,9,9,0.8,41,4,Normal
49,145,16,16,0.9,37,12,Normal
44,114,16,16,0.8,40,4,Normal
35,47,11,11,0.6,31,4,Normal
50,107,12,12,0.9,46,4,Normal
24,30,9,9,0.4,24,0,Normal
59,197,14,14,1,58,1,Normal
48,157,13,13,0.9,48,0,Normal
33,51,10,10,0.6,33,0,Normal
36,75,10,10,0.7,35,1,Normal
45,83,14,14,0.8,41,4,Normal
29,52,14,14,0.5,27,2,Normal
51,98,9,9,0.9,46,5,Normal
35,55,7,7,0.6,33,2,Normal
